#Row	GivenPot	Error
1	0	2.73739e-07
2	0	1.29958e-07
3	0	2.56417e-07
4	0	3.76003e-08
5	0	2.05495e-07
6	0	1.89626e-07
7	0	5.12919e-08
8	0	2.60605e-07
9	0	2.17668e-07
10	0	2.4156e-07
11	0	5.61131e-08
12	0	1.59807e-08
13	0	2.7886e-07
14	0	1.71689e-07
15	0	5.31216e-07
16	0	2.94121e-07
17	0	4.91673e-08
18	0	1.31105e-07
19	0	4.9345e-07
20	0	3.60849e-07
21	5000	3.80351e-09
22	5000	2.83489e-09
23	5000	1.97088e-09
24	5000	2.20825e-09
25	5000	2.60388e-09
26	5000	3.25781e-09
27	5000	2.22826e-10
28	5000	3.61706e-09
29	5000	7.567e-10
30	5000	4.86216e-09
31	-5000	2.16369e-09
32	-5000	3.47518e-09
33	-5000	1.53432e-09
34	-5000	6.83485e-09
35	-5000	1.70076e-10
36	-5000	1.33423e-09
37	-5000	2.59206e-09
38	-5000	1.63254e-09
39	-5000	3.71438e-09
40	-5000	1.89084e-09
41	0	1.39949e-07
42	0	2.24518e-07
43	0	2.83235e-08
44	0	4.54873e-07
45	0	2.46702e-07
46	0	5.4757e-08
47	0	6.97564e-08
48	0	2.09338e-07
49	0	1.03239e-07
50	0	4.3281e-08
51	0	2.62871e-08
52	0	5.09472e-08
53	0	1.31973e-07
54	0	5.11081e-07
55	0	2.24803e-07
56	0	1.90135e-07
57	0	9.01109e-08
58	0	3.99868e-08
59	0	1.17238e-07
60	0	6.38884e-08
61	0	3.75323e-07
62	0	2.30852e-07
63	0	2.09358e-07
64	0	6.42802e-07
65	0	1.09523e-07
66	0	4.71254e-07
67	0	9.46102e-09
68	0	1.7958e-08
69	0	1.34852e-07
70	0	9.45363e-09
71	0	1.51806e-07
72	0	3.7218e-07
73	0	2.93221e-08
74	0	1.18198e-07
75	0	3.11642e-07
76	0	1.44179e-07
77	0	5.15862e-07
78	0	6.10739e-07
79	0	3.15107e-07
80	0	2.46156e-07
81	5000	2.58206e-09
82	5000	2.34922e-09
83	5000	4.32101e-09
84	5000	4.914e-09
85	5000	3.55158e-09
86	5000	4.77485e-10
87	5000	3.02407e-09
88	5000	2.22735e-09
89	5000	3.84716e-09
90	5000	5.95992e-09
91	-5000	1.94177e-09
92	-5000	3.48336e-10
93	-5000	3.44426e-09
94	-5000	1.59434e-09
95	-5000	4.64843e-09
96	-5000	1.62891e-09
97	-5000	4.03816e-10
98	-5000	4.91491e-09
99	-5000	2.28192e-09
100	-5000	3.39787e-09
101	0	8.19564e-08
102	0	4.08152e-07
103	0	4.64497e-08
104	0	2.57241e-07
105	0	4.72099e-07
106	0	1.1778e-08
107	0	2.65863e-07
108	0	5.1496e-08
109	0	1.5707e-08
110	0	3.19581e-07
111	0	2.14204e-07
112	0	7.46804e-07
113	0	9.3758e-08
114	0	2.33627e-07
115	0	2.55013e-07
116	0	2.8879e-07
117	0	3.50451e-07
118	0	4.63131e-07
119	0	1.87242e-08
120	0	2.06133e-07
121	0	7.68101e-08
122	0	8.24962e-08
123	0	1.81383e-07
124	0	1.52193e-07
125	0	1.08462e-07
126	0	2.12167e-07
127	0	8.87589e-07
128	0	1.11465e-07
129	0	4.69991e-08
130	0	1.44246e-07
131	0	7.00267e-08
132	0	1.24816e-07
133	0	1.11546e-08
134	0	2.93657e-07
135	0	6.35575e-08
136	0	1.01263e-07
137	0	5.2874e-08
138	0	1.13109e-07
139	0	2.31615e-07
140	0	3.15644e-07
