#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.15	0.00152	0	1.282180259544795e-05	0
2	11	20	-0.15	-0.00152	0	-1.282180259548325e-05	0
3	21	30	-0.15	0.001335	0	0.0006502717398087872	0
4	31	40	-0.15	-0.001335	0	-0.0006502717398070314	0
5	41	50	-0.15	0.000725	0	2.084378755757752e-05	0
6	51	60	-0.15	-0.000725	0	-2.084378755761182e-05	0
7	61	70	0.15	0.00152	0	1.282180259549448e-05	0
8	71	80	0.15	-0.00152	0	-1.282180259545717e-05	0
9	81	90	0.15	0.001335	0	0.0006502717398064413	0
10	91	100	0.15	-0.001335	0	-0.0006502717398081024	0
11	101	110	0.15	0.000725	0	2.084378755760402e-05	0
12	111	120	0.15	-0.000725	0	-2.084378755757265e-05	0
13	121	220	0	0.001695	0	4.401668061867178e-07	0
14	221	230	0	0.00152	-0.15	1.282180259545303e-05	0
15	231	240	0	-0.00152	-0.15	-1.282180259545264e-05	0
16	241	250	0	0.001335	-0.15	0.0006502717398074246	0
17	251	260	0	-0.001335	-0.15	-0.0006502717398079596	0
18	261	270	0	0.000725	-0.15	2.084378755761417e-05	0
19	271	280	0	-0.000725	-0.15	-2.084378755761208e-05	0
20	281	290	0	0.00152	0.15	1.282180259549455e-05	0
21	291	300	0	-0.00152	0.15	-1.28218025954878e-05	0
22	301	310	0	0.001335	0.15	0.0006502717398075744	0
23	311	320	0	-0.001335	0.15	-0.0006502717398081775	0
24	321	330	0	0.000725	0.15	2.084378755758293e-05	0
25	331	340	0	-0.000725	0.15	-2.084378755758398e-05	0
26	341	440	0	-0.001695	0	-4.401668061858074e-07	0
27	441	540	0	0.001345	0	2.111804965396142e-07	0
28	541	640	0	-0.001345	0	-2.111804965471693e-07	0
29	641	740	0	0.001325	0	1.807190071793342e-05	0
30	741	840	0	-0.001325	0	-1.807190071792665e-05	0
31	841	940	0	0.000125	0	0.0001626238792058372	0
32	941	1040	0	-0.000125	0	-0.0001626238792058371	0
