#BCondn Vector
#elefld	Assigned	BC	KnCh	ChUp	RHValue
1	-0.15	0.00152	-0.135	0	0	0	0	0
2	-0.15	0.00152	-0.105	0	0	0	0	0
3	-0.15	0.00152	-0.075	0	0	0	0	0
4	-0.15	0.00152	-0.045	0	0	0	0	0
5	-0.15	0.00152	-0.015	0	0	0	0	0
6	-0.15	0.00152	0.015	0	0	0	0	0
7	-0.15	0.00152	0.045	0	0	0	0	0
8	-0.15	0.00152	0.075	0	0	0	0	0
9	-0.15	0.00152	0.105	0	0	0	0	0
10	-0.15	0.00152	0.135	0	0	0	0	0
11	-0.15	-0.00152	-0.135	0	0	0	0	0
12	-0.15	-0.00152	-0.105	0	0	0	0	0
13	-0.15	-0.00152	-0.075	0	0	0	0	0
14	-0.15	-0.00152	-0.045	0	0	0	0	0
15	-0.15	-0.00152	-0.015	0	0	0	0	0
16	-0.15	-0.00152	0.015	0	0	0	0	0
17	-0.15	-0.00152	0.045	0	0	0	0	0
18	-0.15	-0.00152	0.075	0	0	0	0	0
19	-0.15	-0.00152	0.105	0	0	0	0	0
20	-0.15	-0.00152	0.135	0	0	0	0	0
21	-0.15	0.001335	-0.135	0	5000	0	0	5000
22	-0.15	0.001335	-0.105	0	5000	0	0	5000
23	-0.15	0.001335	-0.075	0	5000	0	0	5000
24	-0.15	0.001335	-0.045	0	5000	0	0	5000
25	-0.15	0.001335	-0.015	0	5000	0	0	5000
26	-0.15	0.001335	0.015	0	5000	0	0	5000
27	-0.15	0.001335	0.045	0	5000	0	0	5000
28	-0.15	0.001335	0.075	0	5000	0	0	5000
29	-0.15	0.001335	0.105	0	5000	0	0	5000
30	-0.15	0.001335	0.135	0	5000	0	0	5000
31	-0.15	-0.001335	-0.135	0	-5000	0	0	-5000
32	-0.15	-0.001335	-0.105	0	-5000	0	0	-5000
33	-0.15	-0.001335	-0.075	0	-5000	0	0	-5000
34	-0.15	-0.001335	-0.045	0	-5000	0	0	-5000
35	-0.15	-0.001335	-0.015	0	-5000	0	0	-5000
36	-0.15	-0.001335	0.015	0	-5000	0	0	-5000
37	-0.15	-0.001335	0.045	0	-5000	0	0	-5000
38	-0.15	-0.001335	0.075	0	-5000	0	0	-5000
39	-0.15	-0.001335	0.105	0	-5000	0	0	-5000
40	-0.15	-0.001335	0.135	0	-5000	0	0	-5000
41	-0.15	0.000725	-0.135	0	0	0	0	0
42	-0.15	0.000725	-0.105	0	0	0	0	0
43	-0.15	0.000725	-0.075	0	0	0	0	0
44	-0.15	0.000725	-0.045	0	0	0	0	0
45	-0.15	0.000725	-0.015	0	0	0	0	0
46	-0.15	0.000725	0.015	0	0	0	0	0
47	-0.15	0.000725	0.045	0	0	0	0	0
48	-0.15	0.000725	0.075	0	0	0	0	0
49	-0.15	0.000725	0.105	0	0	0	0	0
50	-0.15	0.000725	0.135	0	0	0	0	0
51	-0.15	-0.000725	-0.135	0	0	0	0	0
52	-0.15	-0.000725	-0.105	0	0	0	0	0
53	-0.15	-0.000725	-0.075	0	0	0	0	0
54	-0.15	-0.000725	-0.045	0	0	0	0	0
55	-0.15	-0.000725	-0.015	0	0	0	0	0
56	-0.15	-0.000725	0.015	0	0	0	0	0
57	-0.15	-0.000725	0.045	0	0	0	0	0
58	-0.15	-0.000725	0.075	0	0	0	0	0
59	-0.15	-0.000725	0.105	0	0	0	0	0
60	-0.15	-0.000725	0.135	0	0	0	0	0
61	0.15	0.00152	0.135	0	0	0	0	0
62	0.15	0.00152	0.105	0	0	0	0	0
63	0.15	0.00152	0.075	0	0	0	0	0
64	0.15	0.00152	0.045	0	0	0	0	0
65	0.15	0.00152	0.015	0	0	0	0	0
66	0.15	0.00152	-0.015	0	0	0	0	0
67	0.15	0.00152	-0.045	0	0	0	0	0
68	0.15	0.00152	-0.075	0	0	0	0	0
69	0.15	0.00152	-0.105	0	0	0	0	0
70	0.15	0.00152	-0.135	0	0	0	0	0
71	0.15	-0.00152	0.135	0	0	0	0	0
72	0.15	-0.00152	0.105	0	0	0	0	0
73	0.15	-0.00152	0.075	0	0	0	0	0
74	0.15	-0.00152	0.045	0	0	0	0	0
75	0.15	-0.00152	0.015	0	0	0	0	0
76	0.15	-0.00152	-0.015	0	0	0	0	0
77	0.15	-0.00152	-0.045	0	0	0	0	0
78	0.15	-0.00152	-0.075	0	0	0	0	0
79	0.15	-0.00152	-0.105	0	0	0	0	0
80	0.15	-0.00152	-0.135	0	0	0	0	0
81	0.15	0.001335	0.135	0	5000	0	0	5000
82	0.15	0.001335	0.105	0	5000	0	0	5000
83	0.15	0.001335	0.075	0	5000	0	0	5000
84	0.15	0.001335	0.045	0	5000	0	0	5000
85	0.15	0.001335	0.015	0	5000	0	0	5000
86	0.15	0.001335	-0.015	0	5000	0	0	5000
87	0.15	0.001335	-0.045	0	5000	0	0	5000
88	0.15	0.001335	-0.075	0	5000	0	0	5000
89	0.15	0.001335	-0.105	0	5000	0	0	5000
90	0.15	0.001335	-0.135	0	5000	0	0	5000
91	0.15	-0.001335	0.135	0	-5000	0	0	-5000
92	0.15	-0.001335	0.105	0	-5000	0	0	-5000
93	0.15	-0.001335	0.075	0	-5000	0	0	-5000
94	0.15	-0.001335	0.045	0	-5000	0	0	-5000
95	0.15	-0.001335	0.015	0	-5000	0	0	-5000
96	0.15	-0.001335	-0.015	0	-5000	0	0	-5000
97	0.15	-0.001335	-0.045	0	-5000	0	0	-5000
98	0.15	-0.001335	-0.075	0	-5000	0	0	-5000
