-0.15	0.001695	0.15
-0.12	0.001695	0.15
-0.12	0.001695	0.12
-0.15	0.001695	0.12
-0.15	0.001695	0.15

-0.15	0.001695	0.12
-0.12	0.001695	0.12
-0.12	0.001695	0.09
-0.15	0.001695	0.09
-0.15	0.001695	0.12

-0.15	0.001695	0.09
-0.12	0.001695	0.09
-0.12	0.001695	0.06
-0.15	0.001695	0.06
-0.15	0.001695	0.09

-0.15	0.001695	0.06
-0.12	0.001695	0.06
-0.12	0.001695	0.03
-0.15	0.001695	0.03
-0.15	0.001695	0.06

-0.15	0.001695	0.03
-0.12	0.001695	0.03
-0.12	0.001695	0
-0.15	0.001695	0
-0.15	0.001695	0.03

-0.15	0.001695	0
-0.12	0.001695	0
-0.12	0.001695	-0.03
-0.15	0.001695	-0.03
-0.15	0.001695	0

-0.15	0.001695	-0.03
-0.12	0.001695	-0.03
-0.12	0.001695	-0.06
-0.15	0.001695	-0.06
-0.15	0.001695	-0.03

-0.15	0.001695	-0.06
-0.12	0.001695	-0.06
-0.12	0.001695	-0.09
-0.15	0.001695	-0.09
-0.15	0.001695	-0.06

-0.15	0.001695	-0.09
-0.12	0.001695	-0.09
-0.12	0.001695	-0.12
-0.15	0.001695	-0.12
-0.15	0.001695	-0.09

-0.15	0.001695	-0.12
-0.12	0.001695	-0.12
-0.12	0.001695	-0.15
-0.15	0.001695	-0.15
-0.15	0.001695	-0.12

-0.12	0.001695	0.15
-0.09	0.001695	0.15
-0.09	0.001695	0.12
-0.12	0.001695	0.12
-0.12	0.001695	0.15

-0.12	0.001695	0.12
-0.09	0.001695	0.12
-0.09	0.001695	0.09
-0.12	0.001695	0.09
-0.12	0.001695	0.12

-0.12	0.001695	0.09
-0.09	0.001695	0.09
-0.09	0.001695	0.06
-0.12	0.001695	0.06
-0.12	0.001695	0.09

-0.12	0.001695	0.06
-0.09	0.001695	0.06
-0.09	0.001695	0.03
-0.12	0.001695	0.03
-0.12	0.001695	0.06

-0.12	0.001695	0.03
-0.09	0.001695	0.03
-0.09	0.001695	0
-0.12	0.001695	0
-0.12	0.001695	0.03

-0.12	0.001695	0
-0.09	0.001695	0
-0.09	0.001695	-0.03
-0.12	0.001695	-0.03
-0.12	0.001695	0

-0.12	0.001695	-0.03
-0.09	0.001695	-0.03
-0.09	0.001695	-0.06
-0.12	0.001695	-0.06
-0.12	0.001695	-0.03

-0.12	0.001695	-0.06
-0.09	0.001695	-0.06
-0.09	0.001695	-0.09
-0.12	0.001695	-0.09
-0.12	0.001695	-0.06

-0.12	0.001695	-0.09
-0.09	0.001695	-0.09
-0.09	0.001695	-0.12
-0.12	0.001695	-0.12
-0.12	0.001695	-0.09

-0.12	0.001695	-0.12
-0.09	0.001695	-0.12
-0.09	0.001695	-0.15
-0.12	0.001695	-0.15
-0.12	0.001695	-0.12

-0.09	0.001695	0.15
-0.06	0.001695	0.15
-0.06	0.001695	0.12
