#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.15	0.00152	0	6.410901297723973e-06	0
2	11	20	-0.15	-0.00152	0	-6.410901297741625e-06	0
3	21	30	-0.15	0.001335	0	0.0003251358699043936	0
4	31	40	-0.15	-0.001335	0	-0.0003251358699035157	0
5	41	50	-0.15	0.000725	0	1.042189377878876e-05	0
6	51	60	-0.15	-0.000725	0	-1.042189377880591e-05	0
7	61	70	0.15	0.00152	0	6.410901297747241e-06	0
8	71	80	0.15	-0.00152	0	-6.410901297728587e-06	0
9	81	90	0.15	0.001335	0	0.0003251358699032206	0
10	91	100	0.15	-0.001335	0	-0.0003251358699040512	0
11	101	110	0.15	0.000725	0	1.042189377880201e-05	0
12	111	120	0.15	-0.000725	0	-1.042189377878633e-05	0
13	121	220	0	0.001695	0	2.200834030933589e-07	0
14	221	230	0	0.00152	-0.15	6.410901297726514e-06	0
15	231	240	0	-0.00152	-0.15	-6.41090129772632e-06	0
16	241	250	0	0.001335	-0.15	0.0003251358699037123	0
17	251	260	0	-0.001335	-0.15	-0.0003251358699039798	0
18	261	270	0	0.000725	-0.15	1.042189377880708e-05	0
19	271	280	0	-0.000725	-0.15	-1.042189377880604e-05	0
20	281	290	0	0.00152	0.15	6.410901297747276e-06	0
21	291	300	0	-0.00152	0.15	-6.410901297743902e-06	0
22	301	310	0	0.001335	0.15	0.0003251358699037872	0
23	311	320	0	-0.001335	0.15	-0.0003251358699040888	0
24	321	330	0	0.000725	0.15	1.042189377879147e-05	0
25	331	340	0	-0.000725	0.15	-1.042189377879199e-05	0
26	341	440	0	-0.001695	0	-2.200834030929037e-07	0
27	441	540	0	0.001345	0	1.055902482698071e-07	0
28	541	640	0	-0.001345	0	-1.055902482735846e-07	0
29	641	740	0	0.001325	0	9.035950358966708e-06	0
30	741	840	0	-0.001325	0	-9.035950358963326e-06	0
31	841	940	0	0.000125	0	8.131193960291858e-05	0
32	941	1040	0	-0.000125	0	-8.131193960291855e-05	0
