#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.015	0.00152	-0.0135	9.050899646736415e-06	0	9.050899646736415e-06
2	-0.015	0.00152	-0.0105	8.234392357655229e-06	0	8.234392357655229e-06
3	-0.015	0.00152	-0.0075	8.116254443739597e-06	0	8.116254443739597e-06
4	-0.015	0.00152	-0.0045	8.064289458217101e-06	0	8.064289458217101e-06
5	-0.015	0.00152	-0.0015	8.044490514260899e-06	0	8.044490514260899e-06
6	-0.015	0.00152	0.0015	8.044490514272288e-06	0	8.044490514272288e-06
7	-0.015	0.00152	0.0045	8.064289458234153e-06	0	8.064289458234153e-06
8	-0.015	0.00152	0.0075	8.116254443757281e-06	0	8.116254443757281e-06
9	-0.015	0.00152	0.0105	8.23439235763988e-06	0	8.23439235763988e-06
10	-0.015	0.00152	0.0135	9.050899646720139e-06	0	9.050899646720139e-06
11	-0.015	-0.00152	-0.0135	-9.050899646731609e-06	0	-9.050899646731609e-06
12	-0.015	-0.00152	-0.0105	-8.234392357652825e-06	0	-8.234392357652825e-06
13	-0.015	-0.00152	-0.0075	-8.116254443740412e-06	0	-8.116254443740412e-06
14	-0.015	-0.00152	-0.0045	-8.064289458217243e-06	0	-8.064289458217243e-06
15	-0.015	-0.00152	-0.0015	-8.044490514258879e-06	0	-8.044490514258879e-06
16	-0.015	-0.00152	0.0015	-8.044490514271412e-06	0	-8.044490514271412e-06
17	-0.015	-0.00152	0.0045	-8.06428945823207e-06	0	-8.06428945823207e-06
18	-0.015	-0.00152	0.0075	-8.116254443756929e-06	0	-8.116254443756929e-06
19	-0.015	-0.00152	0.0105	-8.2343923576387e-06	0	-8.2343923576387e-06
20	-0.015	-0.00152	0.0135	-9.050899646720882e-06	0	-9.050899646720882e-06
21	-0.015	0.001335	-0.0135	0.0002265678569405837	0	0.0002265678569405837
22	-0.015	0.001335	-0.0105	0.0002085017533856778	0	0.0002085017533856778
23	-0.015	0.001335	-0.0075	0.0002058777951263969	0	0.0002058777951263969
24	-0.015	0.001335	-0.0045	0.0002048446833743267	0	0.0002048446833743267
25	-0.015	0.001335	-0.0015	0.0002044415924935777	0	0.0002044415924935777
26	-0.015	0.001335	0.0015	0.0002044415924813933	0	0.0002044415924813933
27	-0.015	0.001335	0.0045	0.0002048446833581191	0	0.0002048446833581191
28	-0.015	0.001335	0.0075	0.0002058777951084698	0	0.0002058777951084698
29	-0.015	0.001335	0.0105	0.0002085017534036926	0	0.0002085017534036926
30	-0.015	0.001335	0.0135	0.0002265678569669546	0	0.0002265678569669546
31	-0.015	-0.001335	-0.0135	-0.0002265678569405584	0	-0.0002265678569405584
32	-0.015	-0.001335	-0.0105	-0.0002085017533856537	0	-0.0002085017533856537
33	-0.015	-0.001335	-0.0075	-0.0002058777951263118	0	-0.0002058777951263118
34	-0.015	-0.001335	-0.0045	-0.0002048446833742498	0	-0.0002048446833742498
35	-0.015	-0.001335	-0.0015	-0.0002044415924933682	0	-0.0002044415924933682
36	-0.015	-0.001335	0.0015	-0.0002044415924812276	0	-0.0002044415924812276
37	-0.015	-0.001335	0.0045	-0.0002048446833580745	0	-0.0002048446833580745
38	-0.015	-0.001335	0.0075	-0.0002058777951083079	0	-0.0002058777951083079
39	-0.015	-0.001335	0.0105	-0.0002085017534035602	0	-0.0002085017534035602
40	-0.015	-0.001335	0.0135	-0.0002265678569671488	0	-0.0002265678569671488
41	-0.015	0.000275	-0.0135	2.175877699888529e-05	0	2.175877699888529e-05
42	-0.015	0.000275	-0.0105	2.194521509628032e-05	0	2.194521509628032e-05
43	-0.015	0.000275	-0.0075	2.190089335863491e-05	0	2.190089335863491e-05
44	-0.015	0.000275	-0.0045	2.189228722895143e-05	0	2.189228722895143e-05
