The induced signal.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC]
0,7.653661328475615768e-07,0,7.653661328475615768e-07
0.02000000000000000042,2.142545935510317554e-06,0,2.142545935510317554e-06
0.04000000000000000083,3.295890697702939191e-06,0,3.295890697702939191e-06
0.05999999999999999778,4.372034925172809312e-06,0,4.372034925172809312e-06
0.08000000000000000167,5.437435348002471354e-06,0,5.437435348002471354e-06
0.1000000000000000056,6.899204412207837601e-06,0,6.899204412207837601e-06
0.1199999999999999956,8.821173489745761899e-06,0,8.821173489745761899e-06
0.1400000000000000133,1.11627272729554537e-05,0,1.11627272729554537e-05
0.1600000000000000033,1.383039664927584622e-05,0,1.383039664927584622e-05
0.1799999999999999933,1.687381218918305417e-05,0,1.687381218918305417e-05
0.2000000000000000111,2.053422293753732756e-05,0,2.053422293753732756e-05
0.2200000000000000011,2.479934806636707736e-05,0,2.479934806636707736e-05
0.2399999999999999911,2.968573603530230497e-05,0,2.968573603530230497e-05
0.2600000000000000089,3.504056777627714874e-05,0,3.504056777627714874e-05
0.2800000000000000266,4.077042778434549473e-05,0,4.077042778434549473e-05
0.2999999999999999889,4.71449981174470385e-05,0,4.71449981174470385e-05
0.3200000000000000067,5.432569619417752218e-05,0,5.432569619417752218e-05
0.3400000000000000244,6.241944547420960371e-05,0,6.241944547420960371e-05
0.3599999999999999867,7.116605899217624538e-05,0,7.116605899217624538e-05
0.3800000000000000044,8.076864042386024763e-05,0,8.076864042386024763e-05
0.4000000000000000222,9.230497550679711517e-05,0,9.230497550679711517e-05
0.4199999999999999845,0.0001063297516643397979,0,0.0001063297516643397979
0.4400000000000000022,0.0001225104678813188845,0,0.0001225104678813188845
0.46000000000000002,0.0001405937117772772011,0,0.0001405937117772772011
0.4799999999999999822,0.0001602317644729298832,0,0.0001602317644729298832
0.5,0.00018101808627892226,0,0.00018101808627892226
0.5200000000000000178,0.0002036889478995887828,0,0.0002036889478995887828
0.5400000000000000355,0.000229446846013113228,0,0.000229446846013113228
0.5600000000000000533,0.0002503331769110658106,0,0.0002503331769110658106
0.57999999999999996,0.0002747855226464356168,0,0.0002747855226464356168
0.5999999999999999778,0.0003031348998003937961,0,0.0003031348998003937961
0.6199999999999999956,0.0003357733896874173568,0,0.0003357733896874173568
0.6400000000000000133,0.0003724423026590107646,0,0.0003724423026590107646
0.6600000000000000311,0.0004146937599852033992,0,0.0004146937599852033992
0.6800000000000000488,0.000461625202658885942,0,0.000461625202658885942
0.7000000000000000666,0.0005125603529979784077,0,0.0005125603529979784077
0.7199999999999999734,0.000569465825878886665,0,0.000569465825878886665
0.7399999999999999911,0.0006335441189814628024,0,0.0006335441189814628024
0.7600000000000000089,0.0007038835713233502654,0,0.0007038835713233502654
0.7800000000000000266,0.0007835430418964640974,0,0.0007835430418964640974
0.8000000000000000444,0.0008706224985536150989,0,0.0008706224985536150989
0.8200000000000000622,0.0009668991138268389187,0,0.0009668991138268389187
0.8399999999999999689,0.001074100116347546105,0,0.001074100116347546105
0.8599999999999999867,0.001193476737828906,0,0.001193476737828906
0.8800000000000000044,0.001326660414399216887,0,0.001326660414399216887
0.9000000000000000222,0.001476696628233245155,0,0.001476696628233245155
0.92000000000000004,0.00164327676430131857,0,0.00164327676430131857
0.9400000000000000577,0.001828140719911212691,0,0.001828140719911212691
0.9599999999999999645,0.002031702359771904356,0,0.002031702359771904356
0.9799999999999999822,0.002258685734992240107,0,0.002258685734992240107
1,0.002511446111760595647,0,0.002511446111760595647
