#EleNb	X	Y	Z	Solution	Assigned	Total
232	0.075	0.001695	0.105	-7.58930348576095e-05	0	-7.58930348576095e-05
233	0.075	0.001695	0.075	-7.589303852137991e-05	0	-7.589303852137991e-05
234	0.075	0.001695	0.045	-7.589303842712331e-05	0	-7.589303842712331e-05
235	0.075	0.001695	0.015	-7.589303843212916e-05	0	-7.589303843212916e-05
236	0.075	0.001695	-0.015	-7.589303843214953e-05	0	-7.589303843214953e-05
237	0.075	0.001695	-0.045	-7.589303842708428e-05	0	-7.589303842708428e-05
238	0.075	0.001695	-0.075	-7.589303852138767e-05	0	-7.589303852138767e-05
239	0.075	0.001695	-0.105	-7.589303485756306e-05	0	-7.589303485756306e-05
240	0.075	0.001695	-0.135	-7.589345080819776e-05	0	-7.589345080819776e-05
241	0.105	0.001695	0.135	-7.589344894077552e-05	0	-7.589344894077552e-05
242	0.105	0.001695	0.105	-7.589303133905371e-05	0	-7.589303133905371e-05
243	0.105	0.001695	0.075	-7.589303485761678e-05	0	-7.589303485761678e-05
244	0.105	0.001695	0.045	-7.589303476877866e-05	0	-7.589303476877866e-05
245	0.105	0.001695	0.015	-7.589303477336028e-05	0	-7.589303477336028e-05
246	0.105	0.001695	-0.015	-7.589303477334367e-05	0	-7.589303477334367e-05
247	0.105	0.001695	-0.045	-7.589303476879829e-05	0	-7.589303476879829e-05
248	0.105	0.001695	-0.075	-7.589303485761774e-05	0	-7.589303485761774e-05
249	0.105	0.001695	-0.105	-7.58930313390007e-05	0	-7.58930313390007e-05
250	0.105	0.001695	-0.135	-7.589344894082757e-05	0	-7.589344894082757e-05
251	0.135	0.001695	0.135	-7.589379990095675e-05	0	-7.589379990095675e-05
252	0.135	0.001695	0.105	-7.589344894073448e-05	0	-7.589344894073448e-05
253	0.135	0.001695	0.075	-7.589345080826387e-05	0	-7.589345080826387e-05
254	0.135	0.001695	0.045	-7.589345076535276e-05	0	-7.589345076535276e-05
255	0.135	0.001695	0.015	-7.589345076703194e-05	0	-7.589345076703194e-05
256	0.135	0.001695	-0.015	-7.589345076706235e-05	0	-7.589345076706235e-05
257	0.135	0.001695	-0.045	-7.589345076537366e-05	0	-7.589345076537366e-05
258	0.135	0.001695	-0.075	-7.589345080824149e-05	0	-7.589345080824149e-05
259	0.135	0.001695	-0.105	-7.589344894080529e-05	0	-7.589344894080529e-05
260	0.135	0.001695	-0.135	-7.589379990084662e-05	0	-7.589379990084662e-05
261	-0.135	0.006695	-0.135	-1.066901112746383e-09	0	-1.066901112746383e-09
262	-0.135	0.006695	-0.105	-8.411212728950834e-10	0	-8.411212728950834e-10
263	-0.135	0.006695	-0.075	-8.41493592307025e-10	0	-8.41493592307025e-10
264	-0.135	0.006695	-0.045	-8.364789354657253e-10	0	-8.364789354657253e-10
265	-0.135	0.006695	-0.015	-8.346798674761376e-10	0	-8.346798674761376e-10
266	-0.135	0.006695	0.015	-8.346798789833781e-10	0	-8.346798789833781e-10
267	-0.135	0.006695	0.045	-8.364789455827103e-10	0	-8.364789455827103e-10
268	-0.135	0.006695	0.075	-8.414935940034992e-10	0	-8.414935940034992e-10
269	-0.135	0.006695	0.105	-8.411212756993178e-10	0	-8.411212756993178e-10
270	-0.135	0.006695	0.135	-1.066901104833055e-09	0	-1.066901104833055e-09
271	-0.105	0.006695	-0.135	-8.411212806365777e-10	0	-8.411212806365777e-10
272	-0.105	0.006695	-0.105	-1.50635827859524e-10	0	-1.50635827859524e-10
273	-0.105	0.006695	-0.075	-1.307072150644675e-10	0	-1.307072150644675e-10
274	-0.105	0.006695	-0.045	-1.180709679193399e-10	0	-1.180709679193399e-10
275	-0.105	0.006695	-0.015	-1.142196870051833e-10	0	-1.142196870051833e-10
276	-0.105	0.006695	0.015	-1.142196887752108e-10	0	-1.142196887752108e-10
277	-0.105	0.006695	0.045	-1.180709662206965e-10	0	-1.180709662206965e-10
278	-0.105	0.006695	0.075	-1.307072156432773e-10	0	-1.307072156432773e-10
279	-0.105	0.006695	0.105	-1.506358280515785e-10	0	-1.506358280515785e-10
280	-0.105	0.006695	0.135	-8.411212752655703e-10	0	-8.411212752655703e-10
281	-0.075	0.006695	-0.135	-8.414935965379126e-10	0	-8.414935965379126e-10
282	-0.075	0.006695	-0.105	-1.307072140201691e-10	0	-1.307072140201691e-10
283	-0.075	0.006695	-0.075	-9.997338399205508e-11	0	-9.997338399205508e-11
284	-0.075	0.006695	-0.045	-8.269198792781968e-11	0	-8.269198792781968e-11
285	-0.075	0.006695	-0.015	-7.72658209121136e-11	0	-7.72658209121136e-11
286	-0.075	0.006695	0.015	-7.726581983985799e-11	0	-7.726581983985799e-11
287	-0.075	0.006695	0.045	-8.269198929543153e-11	0	-8.269198929543153e-11
288	-0.075	0.006695	0.075	-9.99733829836359e-11	0	-9.99733829836359e-11
289	-0.075	0.006695	0.105	-1.307072135312475e-10	0	-1.307072135312475e-10
290	-0.075	0.006695	0.135	-8.414935874411249e-10	0	-8.414935874411249e-10
291	-0.045	0.006695	-0.135	-8.364789435302108e-10	0	-8.364789435302108e-10
292	-0.045	0.006695	-0.105	-1.18070965496363e-10	0	-1.18070965496363e-10
293	-0.045	0.006695	-0.075	-8.269198899518985e-11	0	-8.269198899518985e-11
294	-0.045	0.006695	-0.045	-6.307517678311305e-11	0	-6.307517678311305e-11
295	-0.045	0.006695	-0.015	-5.672089238200265e-11	0	-5.672089238200265e-11
296	-0.045	0.006695	0.015	-5.672089442473568e-11	0	-5.672089442473568e-11
